1 0.65
2 0.60
3 0.4
4 0.45
5 0.56
6 0.65
7 0.5
8 0.68
9 0.55
10 0.65
11 0.55
12 0.55
13 0.58
14 0.55
15 0.52
16 0.45
17 0.30
18 0.25
19 0.25
20 0.25
21 0.18
22 0.18
23 0.55
