1 25 0 1 1 1 0.150656
1 577 0 1 24 1 0.150656
2 49 0 2 2 1 0.205808
2 601 0 2 25 1 0.205808
3 73 0 3 3 1 0.075174
3 625 0 3 26 1 0.075174
4 97 0 4 4 1 0.096896
4 649 0 4 27 1 0.096896
5 121 0 5 5 1 0.227198
5 673 0 5 28 1 0.227198
6 145 0 6 6 1 0.140465
6 697 0 6 29 1 0.140465
7 169 0 7 7 1 0.176725
7 721 0 7 30 1 0.176725
8 193 0 8 8 1 0.320782
8 745 0 8 31 1 0.320782
9 217 0 9 9 1 0.375549
9 769 0 9 32 1 0.375549
10 241 0 10 10 1 0.317676
10 793 0 10 33 1 0.317676
11 265 0 11 11 1 0.249773
11 817 0 11 34 1 0.249773
13 313 0 13 13 1 0.108808
13 865 0 13 36 1 0.108808
14 337 0 14 14 1 0.465928
14 889 0 14 37 1 0.465928
15 361 0 15 15 1 0.198928
15 913 0 15 38 1 0.198928
16 385 0 16 16 1 0.475109
16 937 0 16 39 1 0.475109
18 433 0 18 18 1 0.025019
18 985 0 18 41 1 0.025019
19 457 0 19 19 1 0.092515
19 1009 0 19 42 1 0.092515
20 481 0 20 20 1 0.020984
20 1033 0 20 43 1 0.020984
21 505 0 21 21 1 0.055405
21 1057 0 21 44 1 0.055405
25 553 1 1 23 1 0.150656
26 50 1 2 2 2 0.079306
26 602 1 2 25 2 0.079306
27 74 1 3 3 2 0.149089
27 626 1 3 26 2 0.149089
28 98 1 4 4 2 0.181128
28 650 1 4 27 2 0.181128
29 122 1 5 5 2 0.074706
29 674 1 5 28 2 0.074706
30 146 1 6 6 2 0.048421
30 698 1 6 29 2 0.048421
31 170 1 7 7 2 0.018552
31 722 1 7 30 2 0.018552
32 194 1 8 8 2 0.103787
32 746 1 8 31 2 0.103787
33 218 1 9 9 2 0.091848
33 770 1 9 32 2 0.091848
34 242 1 10 10 2 0.111219
34 794 1 10 33 2 0.111219
35 266 1 11 11 2 0.096238
35 818 1 11 34 2 0.096238
38 338 1 14 14 2 0.127290
38 890 1 14 37 2 0.127290
39 362 1 15 15 2 0.074472
39 914 1 15 38 2 0.074472
40 386 1 16 16 2 0.116230
40 938 1 16 39 2 0.116230
49 554 2 1 23 2 0.205808
50 578 2 2 24 2 0.079306
53 123 2 5 5 3 0.029146
53 675 2 5 28 3 0.029146
55 171 2 7 7 3 0.013677
55 723 2 7 30 3 0.013677
56 195 2 8 8 3 0.032892
56 747 2 8 31 3 0.032892
57 219 2 9 9 3 0.014229
57 771 2 9 32 3 0.014229
58 243 2 10 10 3 0.014636
