0 -11.308395 2588801.297721 4395.459177 8.999997 6.000001 2.500000 8.913555 2.519823 2.582534 0
50 -11.307668 430112.985439 3162.606483 8.999965 5.999996 2.500011 8.765459 2.583073 2.587215 0
100 -11.300639 118497.910957 1451.009018 8.999896 5.999988 2.500034 8.552942 2.648732 2.596284 0
150 -11.295041 70185.887488 389.846427 8.999792 5.999979 2.500067 8.384735 2.686121 2.727199 0
200 -11.289716 61649.829309 183.361286 8.999651 5.999976 2.500107 8.196602 2.726302 2.474138 0
250 -11.285884 59696.528544 130.545267 8.999482 5.999957 2.500162 8.140598 2.823169 2.043488 0
300 -11.284312 58779.034302 94.045417 8.999307 5.999904 2.500232 8.081731 2.896587 1.930294 0
350 -11.290801 58184.790855 75.180210 8.999120 5.999814 2.500322 8.067162 2.993864 1.581177 0
400 -11.300422 57557.918341 68.149613 8.998943 5.999677 2.500428 8.162104 3.075942 1.556709 0
450 -11.318871 57078.945016 66.179358 8.998775 5.999493 2.500552 8.135123 3.162280 1.951776 0
