ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
2162
ITEM: BOX BOUNDS pp pp pp
-36.000000 36.000000
-36.000000 36.000000
-36.000000 36.000000
ITEM: ATOMS id type radius Transparency xu yu zu vx vy vz ox oy oz
1 1 0.276782 0.100000 -1.666208 2.774633 -1.926524 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1 1 0.553563 0.100000 -1.122588 3.259035 -2.084531 -0.109736 -4.188804 4.769664 -8.209850 -471.545132 514.114093
1 2 0.276782 0.100000 -1.655911 3.147019 -0.859895 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1 2 0.553563 0.100000 -1.607408 3.403425 -0.266557 0.368210 0.179609 -0.440196 30.462405 11.390414 -45.360770
1 3 0.276782 0.100000 0.091092 2.267182 -0.920705 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1 3 0.553563 0.100000 0.427810 2.588239 -1.437700 -0.169420 0.149705 -0.303141 -20.824685 18.618649 -27.758935
1 4 0.276782 0.100000 -2.002827 1.102843 -0.883985 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1 4 0.553563 0.100000 -1.555276 0.692028 -1.493225 -0.100692 0.229994 -0.401414 -10.060890 14.716252 -42.946006
1 5 0.276782 0.100000 -1.828690 2.960639 -0.593717 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1 5 0.553563 0.100000 -1.924995 2.700016 -0.749785 0.236652 -0.059260 -0.399191 24.812284 -6.924759 -42.074816
1 6 0.276782 0.100000 -0.227783 2.793681 -0.670726 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1 6 0.553563 0.100000 -0.331203 2.337873 -0.816750 -0.048212 0.392493 -0.039521 -10.885005 22.376460 -7.695625
1 7 0.276782 0.100000 -0.811851 3.115236 -0.543715 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1 7 0.553563 0.100000 -1.064520 2.509207 -0.872371 -0.038377 0.104348 -0.206337 -4.564453 10.658651 -21.081834
1 8 0.276782 0.100000 -2.169133 1.320059 -1.322147 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1 8 0.553563 0.100000 -2.748770 0.967871 -1.291112 0.230181 0.172412 -0.352475 24.276862 14.849948 -40.848127
1 9 0.276782 0.100000 -0.967425 2.164738 -2.310610 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1 9 0.553563 0.100000 -0.975234 2.647038 -1.961961 -0.129544 -0.089579 -0.263655 -13.757262 -0.140136 -23.449274
1 10 0.276782 0.100000 -0.154346 2.662270 -0.612618 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1 10 0.553563 0.100000 -0.712321 2.181550 -0.548331 -0.049051 0.043747 -0.114226 -6.822749 9.263502 -13.510157
1 11 0.276782 0.100000 -0.741625 0.813176 -1.169501 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1 11 0.553563 0.100000 -0.950519 0.761225 -1.054062 -0.434410 0.243850 -0.197786 -52.996900 25.482072 -14.727892
1 1106 0.276782 0.100000 -2.298180 1.988373 -0.557611 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1 1106 0.553563 0.100000 -2.180403 1.443397 -0.155467 0.475404 0.005694 -0.295313 43.162902 4.913919 -42.490097
1 13 0.276782 0.100000 -0.102912 1.338800 -0.789898 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1 13 0.553563 0.100000 -0.232924 1.453131 -1.180375 -0.538884 0.370361 -0.291189 -46.364513 41.688582 -28.780389
1 14 0.276782 0.100000 -1.279180 2.527292 0.080305 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1 14 0.553563 0.100000 -0.781436 2.115873 -0.286789 -0.012731 -0.091488 -0.274940 -2.095659 2.683014 -18.513130
1 15 0.276782 0.100000 -0.394970 2.482700 -0.158573 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1 15 0.553563 0.100000 -0.877356 2.046400 0.461638 0.037026 -0.124488 -0.476253 13.552407 -11.846241 -50.650692
1 16 0.276782 0.100000 -1.926930 1.234687 -0.449575 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1 16 0.553563 0.100000 -1.691345 1.624819 -0.269599 0.177908 -0.114945 -0.336929 21.218103 -12.148233 -33.224277
1 1106 0.276782 0.100000 -0.261198 1.172378 -1.424642 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1 1106 0.553563 0.100000 -0.484401 1.477600 -1.012348 -0.503248 0.300557 -0.150440 -45.908091 31.441091 -16.052539
1 18 0.276782 0.100000 -0.729282 2.936062 -1.825356 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1 18 0.553563 0.100000 -0.450910 3.134124 -1.985297 -0.426222 -0.457210 2.759415 -58.847367 -58.133003 317.024428
1 19 0.276782 0.100000 -0.924218 0.783599 -0.840653 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1 19 0.553563 0.100000 -0.793566 0.679016 -0.430793 -0.527464 0.273607 0.267422 -52.333658 25.003853 20.979426
1 20 0.276782 0.100000 -0.204864 1.363976 -0.509053 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1 20 0.553563 0.100000 0.132648 1.087264 -1.084967 -0.578324 0.512261 -0.313203 -53.712238 53.206499 -30.862930
1 21 0.276782 0.100000 -0.251819 1.822242 -1.948593 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1 21 0.553563 0.100000 -0.126837 1.842877 -1.786719 -0.164690 0.234201 -0.396416 -21.993964 22.939067 -46.974129
