0 0.272558 0.235715 -2.764891 2.211441 94 1241 1325
1 0.272558 0.419156 -2.804955 2.200976 94 1220 1325
2 0.272558 5.444578 0.951471 1.940762 437 1064 1192
3 0.272558 5.827117 0.915772 1.856987 437 1064 1192
4 0.272558 5.630496 0.692665 1.918782 437 1192 1678
5 0.272558 -0.459957 0.555599 2.482196 187 1808 2244
6 0.272558 2.468220 3.863220 -1.775676 215 644 1645
7 0.272558 5.486400 -2.277883 -1.727080 113 234 1364
8 0.272558 -0.387716 -2.069371 -2.343424 5 1327 1709
9 0.272558 -2.727935 -1.807691 -2.255286 199 1326 2022
10 0.272558 -3.380751 -2.852381 1.986211 1072 1404 2329
11 0.272558 -0.346356 0.948298 2.461920 89 187 2244
12 0.272558 3.397314 2.174961 2.123021 602 1121 2362
13 0.272558 -0.317900 -0.491785 2.485868 157 1460 1982
14 0.272558 5.621960 -2.750823 -1.572588 234 1364 2469
15 0.272558 -6.786926 0.842030 -1.588040 1306 1463 2140
16 0.272558 -7.061221 1.222729 -1.449782 535 1306 2140
17 0.272558 -2.038595 1.598604 2.331491 772 1578 1772
18 0.272558 -1.523888 -4.605459 1.542332 355 560 1146
19 0.272558 5.281760 2.918167 1.607961 750 917 2393
20 0.272558 -3.933620 -2.485677 -1.986926 288 568 2022
21 0.272558 2.913075 -1.780692 -2.245324 289 843 2205
22 0.272558 -1.663942 1.354420 -2.391326 290 1344 1822
23 0.272558 0.002467 2.298911 2.304961 292 796 1623
24 0.272558 0.047943 -3.412145 2.049035 94 1325 1944
25 0.272558 -0.211217 -0.834513 2.473375 157 1002 1982
26 0.272558 6.971626 3.636760 -0.326773 72 442 1745
27 0.272558 -6.242788 0.779293 -1.763919 535 1306 2443
28 0.272558 -4.705128 2.564446 1.839548 870 1130 1877
29 0.272558 5.799228 -2.030832 -1.705938 113 2181 2469
30 0.272558 -5.398581 4.761012 -0.062544 577 2428 2498
31 0.272558 -3.144691 0.562406 -2.331033 332 2436 2445
32 0.272558 3.664648 1.980299 2.120342 694 1121 2362
33 0.272558 -3.369833 -3.225109 1.884939 719 1072 1497
34 0.272558 -2.938956 1.405096 -2.289598 290 332 1313
35 0.272558 -0.471717 -3.816181 1.924140 1944 1965 2063
36 0.272558 -5.833632 1.411067 -1.805606 741 1306 2443
37 0.272558 5.842560 2.183055 1.667836 903 1173 1991
38 0.272558 -3.192165 4.141416 1.564586 1533 1835 1844
39 0.272558 1.757788 -3.564317 -1.948284 140 546 990
40 0.272558 -1.233547 -1.918764 2.341121 157 1053 1507
41 0.272558 1.499300 -1.632847 -2.366240 254 836 1553
